0000..002C  ; DISALLOWED  # <control>..COMMA
10C49..10E5F; UNASSIGNED  # <reserved>..<reserved>
10C6..10CF  ; UNASSIGNED  # <reserved>..<reserved>
10D0..10FA  ; PVALID      # GEORGIAN LETTER AN..GEORGIAN LETTER AIN
10E60..10E7E; DISALLOWED  # RUMI DIGIT ONE..RUMI FRACTION TWO THIRDS
10E7F..1107F; UNASSIGNED  # <reserved>..<reserved>
10FB..10FC  ; DISALLOWED  # GEORGIAN PARAGRAPH SEPARATOR..MODIFIER LETTE
10FD..10FF  ; UNASSIGNED  # <reserved>..<reserved>
1100..11FF  ; DISALLOWED  # HANGUL CHOSEONG KIYEOK..HANGUL JONGSEONG SSA
11080..110BA; PVALID      # KAITHI SIGN CANDRABINDU..KAITHI SIGN NUKTA
110BB..110C1; DISALLOWED  # KAITHI ABBREVIATION SIGN..KAITHI DOUBLE DAND
110C2..11FFF; UNASSIGNED  # <reserved>..<reserved>
1200..1248  ; PVALID      # ETHIOPIC SYLLABLE HA..ETHIOPIC SYLLABLE QWA
12000..1236E; PVALID      # CUNEIFORM SIGN A..CUNEIFORM SIGN ZUM
1236F..123FF; UNASSIGNED  # <reserved>..<reserved>
12400..12462; DISALLOWED  # CUNEIFORM NUMERIC SIGN TWO ASH..CUNEIFORM NU
12463..1246F; UNASSIGNED  # <reserved>..<reserved>
12470..12473; DISALLOWED  # CUNEIFORM PUNCTUATION SIGN OLD ASSYRIAN WORD
12474..12FFF; UNASSIGNED  # <reserved>..<reserved>
1249        ; UNASSIGNED  # <reserved>
124A..124D  ; PVALID      # ETHIOPIC SYLLABLE QWI..ETHIOPIC SYLLABLE QWE
124E..124F  ; UNASSIGNED  # <reserved>..<reserved>
1250..1256  ; PVALID      # ETHIOPIC SYLLABLE QHA..ETHIOPIC SYLLABLE QHO
1257        ; UNASSIGNED  # <reserved>
1258        ; PVALID      # ETHIOPIC SYLLABLE QHWA
1259        ; UNASSIGNED  # <reserved>
125A..125D  ; PVALID      # ETHIOPIC SYLLABLE QHWI..ETHIOPIC SYLLABLE QH
125E..125F  ; UNASSIGNED  # <reserved>..<reserved>
1260..1288  ; PVALID      # ETHIOPIC SYLLABLE BA..ETHIOPIC SYLLABLE XWA
1289        ; UNASSIGNED  # <reserved>
128A..128D  ; PVALID      # ETHIOPIC SYLLABLE XWI..ETHIOPIC SYLLABLE XWE
128E..128F  ; UNASSIGNED  # <reserved>..<reserved>
1290..12B0  ; PVALID      # ETHIOPIC SYLLABLE NA..ETHIOPIC SYLLABLE KWA
12B1        ; UNASSIGNED  # <reserved>
12B2..12B5  ; PVALID      # ETHIOPIC SYLLABLE KWI..ETHIOPIC SYLLABLE KWE
12B6..12B7  ; UNASSIGNED  # <reserved>..<reserved>
12B8..12BE  ; PVALID      # ETHIOPIC SYLLABLE KXA..ETHIOPIC SYLLABLE KXO
12BF        ; UNASSIGNED  # <reserved>
12C0        ; PVALID      # ETHIOPIC SYLLABLE KXWA
12C1        ; UNASSIGNED  # <reserved>
12C2..12C5  ; PVALID      # ETHIOPIC SYLLABLE KXWI..ETHIOPIC SYLLABLE KX
12C6..12C7  ; UNASSIGNED  # <reserved>..<reserved>
12C8..12D6  ; PVALID      # ETHIOPIC SYLLABLE WA..ETHIOPIC SYLLABLE PHAR
12D7        ; UNASSIGNED  # <reserved>
12D8..1310  ; PVALID      # ETHIOPIC SYLLABLE ZA..ETHIOPIC SYLLABLE GWA
13000..1342E; PVALID      # EGYPTIAN HIEROGLYPH A001..EGYPTIAN HIEROGLYP
1311        ; UNASSIGNED  # <reserved>
1312..1315  ; PVALID      # ETHIOPIC SYLLABLE GWI..ETHIOPIC SYLLABLE GWE
1316..1317  ; UNASSIGNED  # <reserved>..<reserved>
1318..135A  ; PVALID      # ETHIOPIC SYLLABLE GGA..ETHIOPIC SYLLABLE FYA
1342F..1CFFF; UNASSIGNED  # <reserved>..<reserved>
135B..135E  ; UNASSIGNED  # <reserved>..<reserved>
135F        ; PVALID      # ETHIOPIC COMBINING GEMINATION MARK
1360..137C  ; DISALLOWED  # ETHIOPIC SECTION MARK..ETHIOPIC NUMBER TEN T
137D..137F  ; UNASSIGNED  # <reserved>..<reserved>
1380..138F  ; PVALID      # ETHIOPIC SYLLABLE SEBATBEIT MWA..ETHIOPIC SY
1390..1399  ; DISALLOWED  # ETHIOPIC TONAL MARK YIZET..ETHIOPIC TONAL MA
139A..139F  ; UNASSIGNED  # <reserved>..<reserved>
13A0..13F4  ; PVALID      # CHEROKEE LETTER A..CHEROKEE LETTER YV
13F5..13FF  ; UNASSIGNED  # <reserved>..<reserved>
1400        ; DISALLOWED  # CANADIAN SYLLABICS HYPHEN
1401..166C  ; PVALID      # CANADIAN SYLLABICS E..CANADIAN SYLLABICS CAR
166D..166E  ; DISALLOWED  # CANADIAN SYLLABICS CHI SIGN..CANADIAN SYLLAB
166F..167F  ; PVALID      # CANADIAN SYLLABICS QAI..CANADIAN SYLLABICS B
1680        ; DISALLOWED  # OGHAM SPACE MARK
1681..169A  ; PVALID      # OGHAM LETTER BEITH..OGHAM LETTER PEITH
169B..169C  ; DISALLOWED  # OGHAM FEATHER MARK..OGHAM REVERSED FEATHER M
169D..169F  ; UNASSIGNED  # <reserved>..<reserved>
16A0..16EA  ; PVALID      # RUNIC LETTER FEHU FEOH FE F..RUNIC LETTER X
16EB..16F0  ; DISALLOWED  # RUNIC SINGLE PUNCTUATION..RUNIC BELGTHOR SYM
16F1..16FF  ; UNASSIGNED  # <reserved>..<reserved>
1700..170C  ; PVALID      # TAGALOG LETTER A..TAGALOG LETTER YA
170D        ; UNASSIGNED  # <reserved>
170E..1714  ; PVALID      # TAGALOG LETTER LA..TAGALOG SIGN VIRAMA
1715..171F  ; UNASSIGNED  # <reserved>..<reserved>
1720..1734  ; PVALID      # HANUNOO LETTER A..HANUNOO SIGN PAMUDPOD
1735..1736  ; DISALLOWED  # PHILIPPINE SINGLE PUNCTUATION..PHILIPPINE DO
1737..173F  ; UNASSIGNED  # <reserved>..<reserved>
1740..1753  ; PVALID      # BUHID LETTER A..BUHID VOWEL SIGN U
1754..175F  ; UNASSIGNED  # <reserved>..<reserved>
1760..176C  ; PVALID      # TAGBANWA LETTER A..TAGBANWA LETTER YA
176D        ; UNASSIGNED  # <reserved>
176E..1770  ; PVALID      # TAGBANWA LETTER LA..TAGBANWA LETTER SA
1771        ; UNASSIGNED  # <reserved>
1772..1773  ; PVALID      # TAGBANWA VOWEL SIGN I..TAGBANWA VOWEL SIGN U
1774..177F  ; UNASSIGNED  # <reserved>..<reserved>
1780..17B3  ; PVALID      # KHMER LETTER KA..KHMER INDEPENDENT VOWEL QAU
17B4..17B5  ; DISALLOWED  # KHMER VOWEL INHERENT AQ..KHMER VOWEL INHEREN
17B6..17D3  ; PVALID      # KHMER VOWEL SIGN AA..KHMER SIGN BATHAMASAT
17D4..17D6  ; DISALLOWED  # KHMER SIGN KHAN..KHMER SIGN CAMNUC PII KUUH
17D7        ; PVALID      # KHMER SIGN LEK TOO
17D8..17DB  ; DISALLOWED  # KHMER SIGN BEYYAL..KHMER CURRENCY SYMBOL RIE
17DC..17DD  ; PVALID      # KHMER SIGN AVAKRAHASANYA..KHMER SIGN ATTHACA
17DE..17DF  ; UNASSIGNED  # <reserved>..<reserved>
17E0..17E9  ; PVALID      # KHMER DIGIT ZERO..KHMER DIGIT NINE
17EA..17EF  ; UNASSIGNED  # <reserved>..<reserved>
17F0..17F9  ; DISALLOWED  # KHMER SYMBOL LEK ATTAK SON..KHMER SYMBOL LEK
17FA..17FF  ; UNASSIGNED  # <reserved>..<reserved>
1800..180E  ; DISALLOWED  # MONGOLIAN BIRGA..MONGOLIAN VOWEL SEPARATOR
180F        ; UNASSIGNED  # <reserved>
1810..1819  ; PVALID      # MONGOLIAN DIGIT ZERO..MONGOLIAN DIGIT NINE
181A..181F  ; UNASSIGNED  # <reserved>..<reserved>
1820..1877  ; PVALID      # MONGOLIAN LETTER A..MONGOLIAN LETTER MANCHU
1878..187F  ; UNASSIGNED  # <reserved>..<reserved>
1880..18AA  ; PVALID      # MONGOLIAN LETTER ALI GALI ANUSVARA ONE..MONG
18AB..18AF  ; UNASSIGNED  # <reserved>..<reserved>
18B0..18F5  ; PVALID      # CANADIAN SYLLABICS OY..CANADIAN SYLLABICS CA
18F6..18FF  ; UNASSIGNED  # <reserved>..<reserved>
1900..191C  ; PVALID      # LIMBU VOWEL-CARRIER LETTER..LIMBU LETTER HA
191D..191F  ; UNASSIGNED  # <reserved>..<reserved>
1920..192B  ; PVALID      # LIMBU VOWEL SIGN A..LIMBU SUBJOINED LETTER W
192C..192F  ; UNASSIGNED  # <reserved>..<reserved>
1930..193B  ; PVALID      # LIMBU SMALL LETTER KA..LIMBU SIGN SA-I
193C..193F  ; UNASSIGNED  # <reserved>..<reserved>
1940        ; DISALLOWED  # LIMBU SIGN LOO
1941..1943  ; UNASSIGNED  # <reserved>..<reserved>
1944..1945  ; DISALLOWED  # LIMBU EXCLAMATION MARK..LIMBU QUESTION MARK
1946..196D  ; PVALID      # LIMBU DIGIT ZERO..TAI LE LETTER AI
196E..196F  ; UNASSIGNED  # <reserved>..<reserved>
1970..1974  ; PVALID      # TAI LE LETTER TONE-2..TAI LE LETTER TONE-6
1975..197F  ; UNASSIGNED  # <reserved>..<reserved>
1980..19AB  ; PVALID      # NEW TAI LUE LETTER HIGH QA..NEW TAI LUE LETT
19AC..19AF  ; UNASSIGNED  # <reserved>..<reserved>
19B0..19C9  ; PVALID      # NEW TAI LUE VOWEL SIGN VOWEL SHORTENER..NEW
19CA..19CF  ; UNASSIGNED  # <reserved>..<reserved>
19D0..19DA  ; PVALID      # NEW TAI LUE DIGIT ZERO..NEW TAI LUE THAM DIG
19DB..19DD  ; UNASSIGNED  # <reserved>..<reserved>
19DE..19FF  ; DISALLOWED  # NEW TAI LUE SIGN LAE..KHMER SYMBOL DAP-PRAM
1A00..1A1B  ; PVALID      # BUGINESE LETTER KA..BUGINESE VOWEL SIGN AE
1A1C..1A1D  ; UNASSIGNED  # <reserved>..<reserved>
1A1E..1A1F  ; DISALLOWED  # BUGINESE PALLAWA..BUGINESE END OF SECTION
1A20..1A5E  ; PVALID      # TAI THAM LETTER HIGH KA..TAI THAM CONSONANT
1A5F        ; UNASSIGNED  # <reserved>
1A60..1A7C  ; PVALID      # TAI THAM SIGN SAKOT..TAI THAM SIGN KHUEN-LUE
1A7D..1A7E  ; UNASSIGNED  # <reserved>..<reserved>
1A7F..1A89  ; PVALID      # TAI THAM COMBINING CRYPTOGRAMMIC DOT..TAI TH
1A8A..1A8F  ; UNASSIGNED  # <reserved>..<reserved>
1A90..1A99  ; PVALID      # TAI THAM THAM DIGIT ZERO..TAI THAM THAM DIGI
1A9A..1A9F  ; UNASSIGNED  # <reserved>..<reserved>
1AA0..1AA6  ; DISALLOWED  # TAI THAM SIGN WIANG..TAI THAM SIGN REVERSED
1AA7        ; PVALID      # TAI THAM SIGN MAI YAMOK
1AA8..1AAD  ; DISALLOWED  # TAI THAM SIGN KAAN..TAI THAM SIGN CAANG
1AAE..1AFF  ; UNASSIGNED  # <reserved>..<reserved>
1B00..1B4B  ; PVALID      # BALINESE SIGN ULU RICEM..BALINESE LETTER ASY
1B4C..1B4F  ; UNASSIGNED  # <reserved>..<reserved>
1B50..1B59  ; PVALID      # BALINESE DIGIT ZERO..BALINESE DIGIT NINE
1B5A..1B6A  ; DISALLOWED  # BALINESE PANTI..BALINESE MUSICAL SYMBOL DANG
1B6B..1B73  ; PVALID      # BALINESE MUSICAL SYMBOL COMBINING TEGEH..BAL
1B74..1B7C  ; DISALLOWED  # BALINESE MUSICAL SYMBOL RIGHT-HAND OPEN DUG.
1B7D..1B7F  ; UNASSIGNED  # <reserved>..<reserved>
1B80..1BAA  ; PVALID      # SUNDANESE SIGN PANYECEK..SUNDANESE SIGN PAMA
1BAB..1BAD  ; UNASSIGNED  # <reserved>..<reserved>
1BAE..1BB9  ; PVALID      # SUNDANESE LETTER KHA..SUNDANESE DIGIT NINE
1BBA..1BFF  ; UNASSIGNED  # <reserved>..<reserved>
1C00..1C37  ; PVALID      # LEPCHA LETTER KA..LEPCHA SIGN NUKTA
1C38..1C3A  ; UNASSIGNED  # <reserved>..<reserved>
1C3B..1C3F  ; DISALLOWED  # LEPCHA PUNCTUATION TA-ROL..LEPCHA PUNCTUATIO
1C40..1C49  ; PVALID      # LEPCHA DIGIT ZERO..LEPCHA DIGIT NINE
1C4A..1C4C  ; UNASSIGNED  # <reserved>..<reserved>
1C4D..1C7D  ; PVALID      # LEPCHA LETTER TTA..OL CHIKI AHAD
1C7E..1C7F  ; DISALLOWED  # OL CHIKI PUNCTUATION MUCAAD..OL CHIKI PUNCTU
1C80..1CCF  ; UNASSIGNED  # <reserved>..<reserved>
1CD0..1CD2  ; PVALID      # VEDIC TONE KARSHANA..VEDIC TONE PRENKHA
1CD3        ; DISALLOWED  # VEDIC SIGN NIHSHVASA
1CD4..1CF2  ; PVALID      # VEDIC SIGN YAJURVEDIC MIDLINE SVARITA..VEDIC
1CF3..1CFF  ; UNASSIGNED  # <reserved>..<reserved>
1D00..1D2B  ; PVALID      # LATIN LETTER SMALL CAPITAL A..CYRILLIC LETTE
1D000..1D0F5; DISALLOWED  # BYZANTINE MUSICAL SYMBOL PSILI..BYZANTINE MU
1D0F6..1D0FF; UNASSIGNED  # <reserved>..<reserved>
1D100..1D126; DISALLOWED  # MUSICAL SYMBOL SINGLE BARLINE..MUSICAL SYMBO
1D127..1D128; UNASSIGNED  # <reserved>..<reserved>
1D129..1D1DD; DISALLOWED  # MUSICAL SYMBOL MULTIPLE MEASURE REST..MUSICA
1D1DE..1D1FF; UNASSIGNED  # <reserved>..<reserved>
1D200..1D245; DISALLOWED  # GREEK VOCAL NOTATION SYMBOL-1..GREEK MUSICAL
1D246..1D2FF; UNASSIGNED  # <reserved>..<reserved>
1D2C..1D2E  ; DISALLOWED  # MODIFIER LETTER CAPITAL A..MODIFIER LETTER C
1D2F        ; PVALID      # MODIFIER LETTER CAPITAL BARRED B
1D30..1D3A  ; DISALLOWED  # MODIFIER LETTER CAPITAL D..MODIFIER LETTER C
1D300..1D356; DISALLOWED  # MONOGRAM FOR EARTH..TETRAGRAM FOR FOSTERING
1D357..1D35F; UNASSIGNED  # <reserved>..<reserved>
1D360..1D371; DISALLOWED  # COUNTING ROD UNIT DIGIT ONE..COUNTING ROD TE
1D372..1D3FF; UNASSIGNED  # <reserved>..<reserved>
1D3B        ; PVALID      # MODIFIER LETTER CAPITAL REVERSED N
1D3C..1D4D  ; DISALLOWED  # MODIFIER LETTER CAPITAL O..MODIFIER LETTER S
1D400..1D454; DISALLOWED  # MATHEMATICAL BOLD CAPITAL A..MATHEMATICAL IT
1D455       ; UNASSIGNED  # <reserved>
1D456..1D49C; DISALLOWED  # MATHEMATICAL ITALIC SMALL I..MATHEMATICAL SC
1D49D       ; UNASSIGNED  # <reserved>
1D49E..1D49F; DISALLOWED  # MATHEMATICAL SCRIPT CAPITAL C..MATHEMATICAL
1D4A0..1D4A1; UNASSIGNED  # <reserved>..<reserved>
1D4A2       ; DISALLOWED  # MATHEMATICAL SCRIPT CAPITAL G
1D4A3..1D4A4; UNASSIGNED  # <reserved>..<reserved>
1D4A5..1D4A6; DISALLOWED  # MATHEMATICAL SCRIPT CAPITAL J..MATHEMATICAL
1D4A7..1D4A8; UNASSIGNED  # <reserved>..<reserved>
1D4A9..1D4AC; DISALLOWED  # MATHEMATICAL SCRIPT CAPITAL N..MATHEMATICAL
1D4AD       ; UNASSIGNED  # <reserved>
1D4AE..1D4B9; DISALLOWED  # MATHEMATICAL SCRIPT CAPITAL S..MATHEMATICAL
1D4BA       ; UNASSIGNED  # <reserved>
1D4BB       ; DISALLOWED  # MATHEMATICAL SCRIPT SMALL F
1D4BC       ; UNASSIGNED  # <reserved>
1D4BD..1D4C3; DISALLOWED  # MATHEMATICAL SCRIPT SMALL H..MATHEMATICAL SC
1D4C4       ; UNASSIGNED  # <reserved>
1D4C5..1D505; DISALLOWED  # MATHEMATICAL SCRIPT SMALL P..MATHEMATICAL FR
1D4E        ; PVALID      # MODIFIER LETTER SMALL TURNED I
1D4F..1D6A  ; DISALLOWED  # MODIFIER LETTER SMALL K..GREEK SUBSCRIPT SMA
1D506       ; UNASSIGNED  # <reserved>
1D507..1D50A; DISALLOWED  # MATHEMATICAL FRAKTUR CAPITAL D..MATHEMATICAL
1D50B..1D50C; UNASSIGNED  # <reserved>..<reserved>
1D50D..1D514; DISALLOWED  # MATHEMATICAL FRAKTUR CAPITAL J..MATHEMATICAL
1D515       ; UNASSIGNED  # <reserved>
1D516..1D51C; DISALLOWED  # MATHEMATICAL FRAKTUR CAPITAL S..MATHEMATICAL
1D51D       ; UNASSIGNED  # <reserved>
1D51E..1D539; DISALLOWED  # MATHEMATICAL FRAKTUR SMALL A..MATHEMATICAL D
1D53A       ; UNASSIGNED  # <reserved>
1D53B..1D53E; DISALLOWED  # MATHEMATICAL DOUBLE-STRUCK CAPITAL D..MATHEM
1D53F       ; UNASSIGNED  # <reserved>
1D540..1D544; DISALLOWED  # MATHEMATICAL DOUBLE-STRUCK CAPITAL I..MATHEM
1D545       ; UNASSIGNED  # <reserved>
1D546       ; DISALLOWED  # MATHEMATICAL DOUBLE-STRUCK CAPITAL O
1D547..1D549; UNASSIGNED  # <reserved>..<reserved>
1D54A..1D550; DISALLOWED  # MATHEMATICAL DOUBLE-STRUCK CAPITAL S..MATHEM
1D551       ; UNASSIGNED  # <reserved>
1D552..1D6A5; DISALLOWED  # MATHEMATICAL DOUBLE-STRUCK SMALL A..MATHEMAT
1D6A6..1D6A7; UNASSIGNED  # <reserved>..<reserved>
1D6A8..1D7CB; DISALLOWED  # MATHEMATICAL BOLD CAPITAL ALPHA..MATHEMATICA
1D6B..1D77  ; PVALID      # LATIN SMALL LETTER UE..LATIN SMALL LETTER TU
1D78        ; DISALLOWED  # MODIFIER LETTER CYRILLIC EN
1D79..1D9A  ; PVALID      # LATIN SMALL LETTER INSULAR G..LATIN SMALL LE
1D7CC..1D7CD; UNASSIGNED  # <reserved>..<reserved>
1D7CE..1D7FF; DISALLOWED  # MATHEMATICAL BOLD DIGIT ZERO..MATHEMATICAL M
1D800..1EFFF; UNASSIGNED  # <reserved>..<reserved>
1D9B..1DBF  ; DISALLOWED  # MODIFIER LETTER SMALL TURNED ALPHA..MODIFIER
1DC0..1DE6  ; PVALID      # COMBINING DOTTED GRAVE ACCENT..COMBINING LAT
1DE7..1DFC  ; UNASSIGNED  # <reserved>..<reserved>
1DFD..1DFF  ; PVALID      # COMBINING ALMOST EQUAL TO BELOW..COMBINING R
1E00        ; DISALLOWED  # LATIN CAPITAL LETTER A WITH RING BELOW
1E01        ; PVALID      # LATIN SMALL LETTER A WITH RING BELOW
1E02        ; DISALLOWED  # LATIN CAPITAL LETTER B WITH DOT ABOVE
1E03        ; PVALID      # LATIN SMALL LETTER B WITH DOT ABOVE
1E04        ; DISALLOWED  # LATIN CAPITAL LETTER B WITH DOT BELOW
1E05        ; PVALID      # LATIN SMALL LETTER B WITH DOT BELOW
1E06        ; DISALLOWED  # LATIN CAPITAL LETTER B WITH LINE BELOW
1E07        ; PVALID      # LATIN SMALL LETTER B WITH LINE BELOW
1E08        ; DISALLOWED  # LATIN CAPITAL LETTER C WITH CEDILLA AND ACUT
1E09        ; PVALID      # LATIN SMALL LETTER C WITH CEDILLA AND ACUTE
1E0A        ; DISALLOWED  # LATIN CAPITAL LETTER D WITH DOT ABOVE
1E0B        ; PVALID      # LATIN SMALL LETTER D WITH DOT ABOVE
1E0C        ; DISALLOWED  # LATIN CAPITAL LETTER D WITH DOT BELOW
1E0D        ; PVALID      # LATIN SMALL LETTER D WITH DOT BELOW
1E0E        ; DISALLOWED  # LATIN CAPITAL LETTER D WITH LINE BELOW
1E0F        ; PVALID      # LATIN SMALL LETTER D WITH LINE BELOW
1E10        ; DISALLOWED  # LATIN CAPITAL LETTER D WITH CEDILLA
1E11        ; PVALID      # LATIN SMALL LETTER D WITH CEDILLA
1E12        ; DISALLOWED  # LATIN CAPITAL LETTER D WITH CIRCUMFLEX BELOW
1E13        ; PVALID      # LATIN SMALL LETTER D WITH CIRCUMFLEX BELOW
1E14        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH MACRON AND GRAVE
1E15        ; PVALID      # LATIN SMALL LETTER E WITH MACRON AND GRAVE
1E16        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH MACRON AND ACUTE
1E17        ; PVALID      # LATIN SMALL LETTER E WITH MACRON AND ACUTE
1E18        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX BELOW
1E19        ; PVALID      # LATIN SMALL LETTER E WITH CIRCUMFLEX BELOW
1E1A        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH TILDE BELOW
1E1B        ; PVALID      # LATIN SMALL LETTER E WITH TILDE BELOW
1E1C        ; DISALLOWED  # LATIN CAPITAL LETTER E WITH CEDILLA AND BREV
1E1D        ; PVALID      # LATIN SMALL LETTER E WITH CEDILLA AND BREVE
1E1E        ; DISALLOWED  # LATIN CAPITAL LETTER F WITH DOT ABOVE
1E1F        ; PVALID      # LATIN SMALL LETTER F WITH DOT ABOVE
1E20        ; DISALLOWED  # LATIN CAPITAL LETTER G WITH MACRON
1E21        ; PVALID      # LATIN SMALL LETTER G WITH MACRON
1E22        ; DISALLOWED  # LATIN CAPITAL LETTER H WITH DOT ABOVE
1E23        ; PVALID      # LATIN SMALL LETTER H WITH DOT ABOVE
1E24        ; DISALLOWED  # LATIN CAPITAL LETTER H WITH DOT BELOW
1E25        ; PVALID      # LATIN SMALL LETTER H WITH DOT BELOW
1E26        ; DISALLOWED  # LATIN CAPITAL LETTER H WITH DIAERESIS
1E27        ; PVALID      # LATIN SMALL LETTER H WITH DIAERESIS
1E28        ; DISALLOWED  # LATIN CAPITAL LETTER H WITH CEDILLA
1E29        ; PVALID      # LATIN SMALL LETTER H WITH CEDILLA
1E2A        ; DISALLOWED  # LATIN CAPITAL LETTER H WITH BREVE BELOW
1E2B        ; PVALID      # LATIN SMALL LETTER H WITH BREVE BELOW
1E2C        ; DISALLOWED  # LATIN CAPITAL LETTER I WITH TILDE BELOW
1E2D        ; PVALID      # LATIN SMALL LETTER I WITH TILDE BELOW
1E2E        ; DISALLOWED  # LATIN CAPITAL LETTER I WITH DIAERESIS AND AC
1E2F        ; PVALID      # LATIN SMALL LETTER I WITH DIAERESIS AND ACUT
1E30        ; DISALLOWED  # LATIN CAPITAL LETTER K WITH ACUTE
1E31        ; PVALID      # LATIN SMALL LETTER K WITH ACUTE
1E32        ; DISALLOWED  # LATIN CAPITAL LETTER K WITH DOT BELOW
1E33        ; PVALID      # LATIN SMALL LETTER K WITH DOT BELOW
1E34        ; DISALLOWED  # LATIN CAPITAL LETTER K WITH LINE BELOW
1E35        ; PVALID      # LATIN SMALL LETTER K WITH LINE BELOW
1E36        ; DISALLOWED  # LATIN CAPITAL LETTER L WITH DOT BELOW
1E37        ; PVALID      # LATIN SMALL LETTER L WITH DOT BELOW
1E38        ; DISALLOWED  # LATIN CAPITAL LETTER L WITH DOT BELOW AND MA
1E39        ; PVALID      # LATIN SMALL LETTER L WITH DOT BELOW AND MACR
1E3A        ; DISALLOWED  # LATIN CAPITAL LETTER L WITH LINE BELOW
1E3B        ; PVALID      # LATIN SMALL LETTER L WITH LINE BELOW
1E3C        ; DISALLOWED  # LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW
1E3D        ; PVALID      # LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW
1E3E        ; DISALLOWED  # LATIN CAPITAL LETTER M WITH ACUTE
1E3F        ; PVALID      # LATIN SMALL LETTER M WITH ACUTE
1E40        ; DISALLOWED  # LATIN CAPITAL LETTER M WITH DOT ABOVE
1E41        ; PVALID      # LATIN SMALL LETTER M WITH DOT ABOVE
1E42        ; DISALLOWED  # LATIN CAPITAL LETTER M WITH DOT BELOW
1E43        ; PVALID      # LATIN SMALL LETTER M WITH DOT BELOW
1E44        ; DISALLOWED  # LATIN CAPITAL LETTER N WITH DOT ABOVE
1E45        ; PVALID      # LATIN SMALL LETTER N WITH DOT ABOVE
1E46        ; DISALLOWED  # LATIN CAPITAL LETTER N WITH DOT BELOW
1E47        ; PVALID      # LATIN SMALL LETTER N WITH DOT BELOW
1E48        ; DISALLOWED  # LATIN CAPITAL LETTER N WITH LINE BELOW
1E49        ; PVALID      # LATIN SMALL LETTER N WITH LINE BELOW
1E4A        ; DISALLOWED  # LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW
1E4B        ; PVALID      # LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW
1E4C        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH TILDE AND ACUTE
1E4D        ; PVALID      # LATIN SMALL LETTER O WITH TILDE AND ACUTE
1E4E        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH TILDE AND DIAERE
1E4F        ; PVALID      # LATIN SMALL LETTER O WITH TILDE AND DIAERESI
1E50        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH MACRON AND GRAVE
1E51        ; PVALID      # LATIN SMALL LETTER O WITH MACRON AND GRAVE
1E52        ; DISALLOWED  # LATIN CAPITAL LETTER O WITH MACRON AND ACUTE
1E53        ; PVALID      # LATIN SMALL LETTER O WITH MACRON AND ACUTE
1E54        ; DISALLOWED  # LATIN CAPITAL LETTER P WITH ACUTE
1E55        ; PVALID      # LATIN SMALL LETTER P WITH ACUTE
1E56        ; DISALLOWED  # LATIN CAPITAL LETTER P WITH DOT ABOVE
1E57        ; PVALID      # LATIN SMALL LETTER P WITH DOT ABOVE
1E58        ; DISALLOWED  # LATIN CAPITAL LETTER R WITH DOT ABOVE
1E59        ; PVALID      # LATIN SMALL LETTER R WITH DOT ABOVE
1E5A        ; DISALLOWED  # LATIN CAPITAL LETTER R WITH DOT BELOW
1E5B        ; PVALID      # LATIN SMALL LETTER R WITH DOT BELOW
1E5C        ; DISALLOWED  # LATIN CAPITAL LETTER R WITH DOT BELOW AND MA
1E5D        ; PVALID      # LATIN SMALL LETTER R WITH DOT BELOW AND MACR
1E5E        ; DISALLOWED  # LATIN CAPITAL LETTER R WITH LINE BELOW
1E5F        ; PVALID      # LATIN SMALL LETTER R WITH LINE BELOW
1E60        ; DISALLOWED  # LATIN CAPITAL LETTER S WITH DOT ABOVE
1E61        ; PVALID      # LATIN SMALL LETTER S WITH DOT ABOVE
1E62        ; DISALLOWED  # LATIN CAPITAL LETTER S WITH DOT BELOW
1E63        ; PVALID      # LATIN SMALL LETTER S WITH DOT BELOW
1E64        ; DISALLOWED  # LATIN CAPITAL LETTER S WITH ACUTE AND DOT AB
1E65        ; PVALID      # LATIN SMALL LETTER S WITH ACUTE AND DOT ABOV
1E66        ; DISALLOWED  # LATIN CAPITAL LETTER S WITH CARON AND DOT AB
1E67        ; PVALID      # LATIN SMALL LETTER S WITH CARON AND DOT ABOV
1E68        ; DISALLOWED  # LATIN CAPITAL LETTER S WITH DOT BELOW AND DO
1E69        ; PVALID      # LATIN SMALL LETTER S WITH DOT BELOW AND DOT
1E6A        ; DISALLOWED  # LATIN CAPITAL LETTER T WITH DOT ABOVE
1E6B        ; PVALID      # LATIN SMALL LETTER T WITH DOT ABOVE
1E6C        ; DISALLOWED  # LATIN CAPITAL LETTER T WITH DOT BELOW
1E6D        ; PVALID      # LATIN SMALL LETTER T WITH DOT BELOW
1E6E        ; DISALLOWED  # LATIN CAPITAL LETTER T WITH LINE BELOW
1E6F        ; PVALID      # LATIN SMALL LETTER T WITH LINE BELOW
